domain,shopify,live_checkout,live_confidence,historical_checkouts,historical_count,has_kwikpass,emails,linkedin,instagram,facebook,twitter,youtube,tech_stack,title,lead_score,priority,last_scan,scan_duration,status,notes
plixlife.com,True,GoKwik,80,"GoKwik, Razorpay",2,True,"business@plixlife.com, hello@plixlife.com, compliance@plixlife.com",,,,,,Google Analytics,"Buy Plant Based Products | Vegan Protein Powders, Tablets & Capsules Online - PlixLife",100,CRITICAL,2026-06-07,8.52,Not Contacted,
https://aflairza.com/,True,FlexyPe,80,"Fastrr, FlexyPe",2,False,help@aflairza.com,,,,,,"Klaviyo, Judge.me",Aflairza | Enhance your beauty with Makeup,100,CRITICAL,2026-06-07,13.85,Not Contacted,
guardian.in,True,GoKwik,80,"Fastrr, GoKwik, Razorpay",3,True,"hello@guardian.in, info@stagheaddesigns.com, abc@xyz.com, example@email.com",,https://www.instagram.com/guardiangnc/?hl=en,https://www.facebook.com/GuardianGNC/,https://x.com/GNC_India,https://www.youtube.com/c/GuardianGNC,"Klaviyo, Judge.me, Meta Pixel, Google Analytics, Hotjar",GNC: GNC India | GNC Nutrition | Buy GNC Products online,100,CRITICAL,2026-06-07,18.76,Not Contacted,
https://therealindiankitchen.com/,True,FlexyPe,80,FlexyPe,1,False,"support@therealindiankitchen.com, youremail@gmail.com",,https://www.instagram.com/trik_therealindiankitchen/,https://www.facebook.com/TRIK-The-Real-Indian-Kitchen-111745741513543,,,Judge.me,TRIK - The Real Indian Kitchen || Best of Indian Homemade Kitchens,100,CRITICAL,2026-06-07,17.91,Not Contacted,
https://svbventures.in/,True,FlexyPe,80,"Fastrr, FlexyPe, Razorpay",3,False,,,https://www.instagram.com/svbventures9/,https://www.facebook.com/SVBventures9,https://x.com/PRAKKERE,https://www.youtube.com/channel/UCSLQWhEsKdIKdMF3AIFc6tw,"Judge.me, Google Analytics","Chic Elegance Unleased Explore Timeless Women Fashion at SVB Ventures.
      
  | SVB Ventures",100,CRITICAL,2026-06-07,18.6,Not Contacted,
deodap.in,True,GoKwik,80,"GoKwik, Razorpay",2,False,"care@deodap.com, info@stagheaddesigns.com",https://in.linkedin.com/company/deodap,https://www.instagram.com/deodap_india/,https://www.facebook.com/deodap/,,https://www.youtube.com/@OnlineBusinessIdeasbyDeoDap,"Judge.me, Google Analytics","DeoDap: Wholesale Shopping India | Home, Kitchen, Toys & More | No MOQ",100,CRITICAL,2026-06-07,17.96,Not Contacted,
chicco.in,True,GoKwik,80,"GoKwik, Razorpay",2,True,support@chicco.in,,https://www.instagram.com/chicco_india/,https://www.facebook.com/chiccoindia,,,"Yotpo, Google Analytics",Chicco India,100,CRITICAL,2026-06-07,13.62,Not Contacted,
bevzilla.co,True,GoKwik,80,"Fastrr, GoKwik, Razorpay",3,True,"hello@bevzilla.co, info@stagheaddesigns.com, karan.trehan@oneguardian.in, shop@bellavitaorganic.com",,https://www.instagram.com/bevzilla_official?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://www.facebook.com/Bevzillaofficial-,,,"Klaviyo, Judge.me, Meta Pixel, Google Analytics, Hotjar, Microsoft Clarity, Recharge",Instant Coffee Cubes by Bevzilla,100,CRITICAL,2026-06-07,20.76,Not Contacted,
reequil.com,True,GoKwik,80,"Shopflo, GoKwik, Fastrr",3,True,"care@reequil.com, help@reequil.com",,https://www.instagram.com/reequil/,https://www.facebook.com/reequil/,,https://www.youtube.com/@Reequil,"Google Analytics, Intercom",Re’equil Summer Ready Sale | Up to 25% OFF – Re'equil,100,CRITICAL,2026-06-07,13.99,Not Contacted,
styleanny.in,True,GoKwik,80,GoKwik,1,True,"happytohelp@styleanny.in, example@email.com",,https://instagram.com/styleanny_in?igshid=YmMyMTA2M2Y=,https://www.facebook.com/styleanny.in/,,https://www.youtube.com/@STYLEANNY,"Klaviyo, Judge.me, Meta Pixel, Google Analytics, Hotjar, Microsoft Clarity","ANNY - Fashion for Every Occasion | Women Clothing Brand | Top, Bottom",100,CRITICAL,2026-06-07,16.61,Not Contacted,
